date,market,ticker,btc_corr,adv_usd,rank
2023-05-02,HK,1833.HK,0.08957905254940159,11462124.32936507,19
2023-05-02,HK,6060.HK,0.07632250494425706,6970001.966025641,20
2023-05-02,HK,1357.HK,0.025008098341706798,21611864.012051288,21
2023-05-02,HK,0522.HK,-0.021395208222908774,8433876.700000001,22
2023-05-02,HK,2018.HK,-0.02490526101387802,15901593.660897443,23
2023-06-01,HK,0700.HK,0.3362081361897744,848179984.9487178,1
2023-06-01,HK,3888.HK,0.3334624427115044,22804030.558333337,2
2023-06-01,HK,2400.HK,0.3332272458672908,4164990.987179488,3
2023-06-01,HK,0388.HK,0.323532208001538,144017717.38717955,4
2023-06-01,HK,9626.HK,0.3220609232955918,30342996.11089744,5
2023-06-01,HK,2382.HK,0.3178203837767041,40825263.971794866,6
2023-06-01,HK,9888.HK,0.29687277614232394,127972171.80576923,7
2023-06-01,HK,3690.HK,0.28452306483713474,466249574.4782052,8
2023-06-01,HK,1810.HK,0.2815622509115014,75162007.664359,9
2023-06-01,HK,9961.HK,0.2673764147967238,42169526.79615385,10
2023-06-01,HK,1024.HK,0.2635433816197318,134940232.8621795,11
2023-06-01,HK,0772.HK,0.25113723692705026,11654628.185897436,12
2023-06-01,HK,6618.HK,0.2341005354590064,30074329.860256415,13
2023-06-01,HK,9999.HK,0.1760076256559235,77864334.82948719,14
2023-06-01,HK,1833.HK,0.13943262628807884,9049232.995205315,15
2023-06-01,HK,0285.HK,0.1272968669361649,10872658.289423078,16
