universe,model,target,strategy,gate,gross_pnl,spread_cost,impact_cost,borrow_cost,residual,net_pnl,source
main_hk,tcn,intraday,tercile_lo,gate_on,0.0883567690127321,5.16867380952381,0.960804661234684,0.0,4.440892098500626e-16,-6.041121701745762,pass2
main_hk,tcn,intraday,tercile_ls,gate_off,0.556512001164935,3.5838119047619044,0.6804841936172886,0.3023809523809524,-3.3306690738754696e-16,-4.01016504959521,pass2
main_hk,tcn,intraday,tercile_lo,gate_off,0.0171147325249329,7.167623809523809,1.3609683872345772,0.0,-1.1102230246251563e-15,-8.511477464233453,pass2
main_hk,tcn,cc,tercile_ls,gate_on,0.0809453918193549,2.519870238095238,0.4803067504117334,0.2176587301587301,-6.661338147750939e-16,-3.136890326846346,pass2
main_hk,tcn,cc,tercile_lo,gate_on,0.3142147481018106,5.039740476190476,0.9606135008234667,0.0,-6.661338147750939e-16,-5.686139228912132,pass2
main_hk,tcn,cc,tercile_ls,gate_off,0.2126404602627074,3.533074404761905,0.6822777480059811,0.3023809523809524,5.551115123125784e-16,-4.30509264488613,pass2
main_hk,tcn,cc,tercile_lo,gate_off,0.3775734874080324,7.06614880952381,1.364555496011962,0.0,-1.1102230246251563e-15,-8.05313081812774,pass2
main_kr,tcn,gap,tercile_ls,gate_on,1.5571420772515587,1.8982333333333337,0.5823825913768529,0.1747619047619047,1.9428902930940242e-16,-1.0982357522205326,pass2
main_kr,tcn,gap,tercile_lo,gate_on,0.8911195310623353,3.7964666666666673,1.1647651827537058,0.0,-6.661338147750939e-16,-4.070112318358038,pass2
main_kr,tcn,gap,tercile_ls,gate_off,1.9216784517831584,2.5968888888888895,0.8426205535874316,0.2417460317460317,1.6653345369377348e-16,-1.7595770224391942,pass2
main_kr,tcn,gap,tercile_lo,gate_off,1.0012483860867136,5.193777777777779,1.6852411071748632,0.0,8.881784197001252e-16,-5.877770498865929,pass2
main_kr,tcn,intraday,tercile_ls,gate_on,1.2343303175638511,1.9857333333333336,0.6192279087514813,0.1747619047619047,-2.7755575615628914e-17,-1.5453928292828683,pass2
main_kr,tcn,intraday,tercile_lo,gate_on,0.5045789857647074,3.971466666666667,1.2384558175029623,0.0,6.661338147750939e-16,-4.705343498404922,pass2
main_kr,tcn,intraday,tercile_ls,gate_off,1.850542220833436,2.705666666666667,0.8846992647781726,0.2417460317460317,1.6653345369377348e-16,-1.9815697423574354,pass2
main_kr,tcn,intraday,tercile_lo,gate_off,0.7866975613842975,5.411333333333334,1.7693985295563452,0.0,0.0,-6.394034301505382,pass2
main_kr,tcn,cc,tercile_ls,gate_on,0.3482550135076344,1.8292777777777784,0.5737365540792132,0.1747619047619047,8.326672684688674e-17,-2.229521223111262,pass2
main_kr,tcn,cc,tercile_lo,gate_on,0.1422103292587319,3.658555555555557,1.1474731081584264,0.0,0.0,-4.663818334455252,pass2
main_kr,tcn,cc,tercile_ls,gate_off,0.8071569060357019,2.5362,0.8356826458547015,0.2417460317460317,-2.775557561562891e-16,-2.806471771565031,pass2
main_kr,tcn,cc,tercile_lo,gate_off,0.3453996359819661,5.0724,1.671365291709403,0.0,0.0,-6.398365655727437,pass2
index_hk,tcn,gap,index_threshold,gate_on,-0.0063042840629337,0.016,0.0,0.0008928571428571,-3.838075690598686e-17,-0.023197141205790802,pass2
index_hk,tcn,gap,index_threshold,gate_off,-0.0005195100966361,0.0188,0.0,0.0008928571428571,-4.87890977618477e-17,-0.0202123672394932,pass2
index_hk,tcn,intraday,index_threshold,gate_on,0.03766462886233,0.0144,0.0,0.0010714285714285,-9.324138683375338e-18,0.022193200290901497,pass2
index_hk,tcn,intraday,index_threshold,gate_off,0.0366301604790345,0.0168,0.0,0.0011706349206349,-1.2359904766334749e-17,0.018659525558399604,pass2
index_hk,tcn,cc,index_threshold,gate_on,0.2003377817163705,0.0152,0.0,0.000595238095238,1.0842021724855044e-17,0.1845425436211325,pass2
index_hk,tcn,cc,index_threshold,gate_off,0.1135323484486431,0.018,0.0,0.0011309523809523,-4.3368086899420185e-18,0.0944013960676908,pass2
index_kr,tcn,gap,index_threshold,gate_on,-0.1680834104718077,0.014,0.0,0.0005357142857142,-4.662069341687669e-18,-0.1826191247575219,pass2
index_kr,tcn,gap,index_threshold,gate_off,-0.2236743370249303,0.0144,0.0,0.0006944444444444,-4.9548039282587546e-17,-0.2387687814693747,pass2
index_kr,tcn,intraday,index_threshold,gate_on,-0.1387985633627979,0.0092,0.0,0.0006746031746031,-3.2526065174565133e-19,-0.14867316653740098,pass2
index_kr,tcn,intraday,index_threshold,gate_off,-0.1029048542259262,0.0132,0.0,0.0009126984126984,-9.54097911787244e-18,-0.11701755263862461,pass2
index_kr,tcn,cc,index_threshold,gate_on,-0.3619572425377548,0.0116,0.0,0.0012301587301587,-1.6046192152785466e-17,-0.3747874012679135,pass2
index_kr,tcn,cc,index_threshold,gate_off,-0.2609125068606766,0.012,0.0,0.0013492063492063,1.8214596497756474e-17,-0.2742617132098829,pass2
